antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,antecedents_str,consequents_str
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'ALARM CLOCK BAKELIKE RED', 'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'WOODLAND CHARLOTTE BAG'}),0.005377211378179276,0.04436199386997903,0.0052696671506156905,0.98,22.090981818181817,1.0,0.00503112333241932,47.781900306501,0.9598942134025041,0.1185006045949214,0.9790715732613099,0.5493939393939394,4,1,"CHARLOTTE BAG SUKI DESIGN, ALARM CLOCK BAKELIKE RED, STRAWBERRY CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",WOODLAND CHARLOTTE BAG
"frozenset({'LUNCH BAG  BLACK SKULL.', 'CHARLOTTE BAG SUKI DESIGN', 'LUNCH BAG CARS BLUE', 'WOODLAND CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.005377211378179276,0.05517018874011938,0.0052696671506156905,0.98,17.763216374269003,1.0,0.004973005383986023,47.24149056299399,0.9488058184835269,0.09533073929961089,0.9788321666382107,0.5377582846003899,5,1,"LUNCH BAG  BLACK SKULL., CHARLOTTE BAG SUKI DESIGN, LUNCH BAG CARS BLUE, WOODLAND CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",RED RETROSPOT CHARLOTTE BAG
"frozenset({'STRAWBERRY CHARLOTTE BAG', 'PACK OF 72 RETROSPOT CAKE CASES', 'ALARM CLOCK BAKELIKE GREEN', 'RED RETROSPOT CHARLOTTE BAG'})",frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.005323439264397483,0.039630047857181265,0.005215895036833898,0.9797979797979798,24.72361333826734,1.0,0.005004926884021028,47.53831263106948,0.9646882973138362,0.13125845737483086,0.9789643354033052,0.5557063169003468,4,1,"STRAWBERRY CHARLOTTE BAG, PACK OF 72 RETROSPOT CAKE CASES, ALARM CLOCK BAKELIKE GREEN, RED RETROSPOT CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT
"frozenset({'LUNCH BAG  BLACK SKULL.', 'PACK OF 72 RETROSPOT CAKE CASES', 'WOODLAND CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.0052696671506156905,0.05517018874011938,0.005162122923052105,0.9795918367346939,17.75581811672037,1.0,0.004871394391755031,46.2966607517341,0.9486796583599114,0.09338521400778209,0.9784001700389905,0.5365795440983411,5,1,"LUNCH BAG  BLACK SKULL., PACK OF 72 RETROSPOT CAKE CASES, WOODLAND CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",RED RETROSPOT CHARLOTTE BAG
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'WOODLAND CHARLOTTE BAG', 'RED RETROSPOT PEG BAG', 'STRAWBERRY CHARLOTTE BAG'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.0052696671506156905,0.05517018874011938,0.005162122923052105,0.9795918367346939,17.75581811672037,1.0,0.004871394391755031,46.2966607517341,0.9486796583599114,0.09338521400778209,0.9784001700389905,0.5365795440983411,4,1,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG, RED RETROSPOT PEG BAG, STRAWBERRY CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG
"frozenset({'WOODLAND CHARLOTTE BAG', 'CHOCOLATE HOT WATER BOTTLE', 'STRAWBERRY CHARLOTTE BAG', 'RED RETROSPOT CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.005215895036833898,0.047050599559068665,0.0051083508092703124,0.9793814432989691,20.815493372606777,1.0,0.004862939820550107,46.21804592138533,0.9569502133712662,0.10832383124287345,0.9783634296936536,0.5439764359351988,5,1,"WOODLAND CHARLOTTE BAG, CHOCOLATE HOT WATER BOTTLE, STRAWBERRY CHARLOTTE BAG, RED RETROSPOT CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",CHARLOTTE BAG SUKI DESIGN
"frozenset({'LUNCH BAG  BLACK SKULL.', 'CHARLOTTE BAG SUKI DESIGN', 'WOODLAND CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG', 'LUNCH BAG SPACEBOY DESIGN'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.005215895036833898,0.05517018874011938,0.0051083508092703124,0.9793814432989691,17.752004581901488,1.0,0.0048205888956395345,45.824245846104375,0.9486162162162164,0.09241245136186771,0.9781774913795988,0.5359870179457809,5,1,"LUNCH BAG  BLACK SKULL., CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG, LUNCH BAG SPACEBOY DESIGN",RED RETROSPOT CHARLOTTE BAG
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'STRAWBERRY CHARLOTTE BAG', 'CHOCOLATE HOT WATER BOTTLE', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.005162122923052105,0.05517018874011938,0.00505457869548852,0.9791666666666667,17.748111598440545,1.0,0.0047697833995240385,45.35183094047443,0.9485525221753396,0.0914396887159533,0.9779501735814695,0.5353923001949318,4,1,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG, CHOCOLATE HOT WATER BOTTLE, REGENCY CAKESTAND 3 TIER",RED RETROSPOT CHARLOTTE BAG
"frozenset({'STRAWBERRY CHARLOTTE BAG', 'ROUND SNACK BOXES SET OF 4 SKULLS', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.005162122923052105,0.05517018874011938,0.00505457869548852,0.9791666666666667,17.748111598440545,1.0,0.0047697833995240385,45.35183094047443,0.9485525221753396,0.0914396887159533,0.9779501735814695,0.5353923001949318,3,1,"STRAWBERRY CHARLOTTE BAG, ROUND SNACK BOXES SET OF 4 SKULLS, CHARLOTTE BAG PINK POLKADOT",RED RETROSPOT CHARLOTTE BAG
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'PACK OF 72 RETROSPOT CAKE CASES', 'CHOCOLATE HOT WATER BOTTLE', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'WOODLAND CHARLOTTE BAG'}),0.005162122923052105,0.04436199386997903,0.00505457869548852,0.9791666666666667,22.07219696969697,1.0,0.004825576630020004,45.87062429424117,0.9596479546246494,0.11366384522370011,0.9781995554805313,0.5465530303030304,4,1,"CHARLOTTE BAG SUKI DESIGN, PACK OF 72 RETROSPOT CAKE CASES, CHOCOLATE HOT WATER BOTTLE, CHARLOTTE BAG PINK POLKADOT",WOODLAND CHARLOTTE BAG
